work_year,salary,salary_in_usd,remote_ratio,experiencia_num,tamanio_campania,index_job
2020,70000,79833,0,2,3,1
2020,260000,260000,0,3,1,2
2020,85000,109024,50,3,2,3
2020,20000,20000,0,2,1,4
2020,150000,150000,50,3,3,5
2020,72000,72000,100,1,3,6
2020,190000,190000,100,3,1,7
2020,11000000,35735,50,2,3,1
2020,135000,135000,100,2,3,8
2020,125000,125000,50,3,1,9
2020,45000,51321,0,1,1,1
2020,3000000,40481,0,2,3,1
2020,35000,39916,0,1,2,1
2020,87000,87000,100,2,3,10
2020,85000,85000,100,2,3,6
2020,8000,8000,50,2,3,6
2020,4450000,41689,100,1,1,11
2020,100000,114047,100,3,1,3
2020,423000,5707,50,1,2,12
2020,56000,56000,100,2,2,9
2020,299000,43331,0,2,2,5
2020,450000,6072,100,2,3,4
2020,42000,47899,50,3,3,11
2020,98000,98000,0,2,2,13
2020,115000,115000,0,2,3,7
2020,325000,325000,100,4,3,14
2020,42000,42000,50,1,3,15
2020,720000,33511,0,3,1,11
2020,100000,100000,100,1,3,8
2020,157000,117104,50,3,3,16
2020,51999,59303,100,2,1,17
2020,70000,70000,100,1,3,3
2020,60000,68428,100,3,3,1
2020,450000,450000,0,2,2,15
2020,41000,46759,50,2,3,6
2020,65000,74130,50,2,3,11
2020,103000,103000,100,2,3,12
2020,250000,250000,50,1,3,5
2020,10000,10000,100,1,1,6
2020,138000,138000,100,1,1,5
2020,45760,45760,100,2,1,1
2020,70000,79833,50,4,3,17
2020,44000,50180,0,2,2,18
2020,106000,106000,100,2,3,11
2020,88000,112872,50,2,3,11
2020,14000,15966,100,1,1,19
2020,60000,76958,100,2,1,1
2020,188000,188000,100,3,3,11
2020,105000,105000,100,2,3,1
2020,61500,70139,50,2,3,11
2020,450000,6072,0,1,1,6
2020,91000,91000,100,1,3,6
2020,300000,45896,50,1,1,20
2020,48000,54742,100,1,3,11
2020,60000,60000,100,3,1,21
2020,130000,148261,100,3,2,22
2020,34000,38776,100,2,2,1
2020,118000,118000,100,2,2,1
2020,120000,120000,50,3,3,1
2020,138350,138350,100,2,2,1
2020,110000,110000,100,2,3,11
2020,130800,130800,100,2,2,11
2020,19000,21669,50,1,1,1
2020,412000,412000,100,3,3,1
2020,40000,45618,100,3,1,5
2020,55000,62726,50,1,1,1
2020,43200,49268,0,1,1,1
2020,190200,190200,100,3,2,23
2020,105000,105000,100,1,1,1
2020,80000,91237,0,3,1,1
2020,55000,62726,50,2,1,1
2020,37000,42197,50,2,1,1
2021,60000,82528,50,1,3,15
2021,150000,150000,100,4,3,13
2021,235000,235000,100,4,3,24
2021,45000,53192,50,3,3,1
2021,100000,100000,100,2,2,13
2021,400000,5409,50,2,2,25
2021,270000,270000,100,2,3,19
2021,80000,80000,100,1,2,6
2021,67000,79197,100,3,3,26
2021,140000,140000,100,2,3,11
2021,68000,54238,50,2,3,27
2021,40000,47282,100,2,1,5
2021,130000,153667,100,4,3,14
2021,110000,28476,100,2,3,11
2021,50000,59102,50,1,2,6
2021,110000,110000,100,2,3,26
2021,170000,170000,100,3,3,10
2021,80000,80000,100,3,1,6
2021,75000,88654,100,3,3,28
2021,65000,76833,100,1,1,12
2021,1450000,19609,100,2,3,10
2021,276000,276000,0,3,3,9
2021,2200000,29751,50,1,3,1
2021,120000,89294,50,2,3,29
2021,12000,12000,100,1,1,20
2021,450000,450000,100,2,3,30
2021,70000,70000,100,1,2,31
2021,81000,95746,100,2,1,31
2021,75000,75000,0,2,3,6
2021,150000,150000,100,3,3,11
2021,11000000,36259,50,2,3,13
2021,62000,62000,0,2,3,6
2021,73000,73000,0,2,3,1
2021,37456,51519,50,2,3,6
2021,235000,187442,100,2,3,15
2021,115000,115000,100,3,1,11
2021,150000,150000,100,3,2,11
2021,2250000,30428,100,1,3,11
2021,80000,94564,50,3,3,5
2021,82500,113476,100,3,2,32
2021,75000,103160,100,3,1,9
2021,12000,12000,100,1,2,20
2021,38400,45391,100,2,3,11
2021,225000,225000,100,1,3,2
2021,50000,50000,100,2,3,1
2021,34000,40189,100,2,2,33
2021,90000,90000,100,1,1,6
2021,200000,200000,100,2,3,11
2021,60000,60000,50,2,2,3
2021,200000,200000,100,3,2,34
2021,50000,50000,100,1,2,6
2021,80000,110037,0,1,3,27
2021,8760,10354,50,1,2,6
2021,151000,151000,100,2,3,22
2021,120000,120000,50,3,1,2
2021,700000,9466,0,2,1,1
2021,20000,20000,100,1,1,5
2021,3000000,40570,50,3,3,7
2021,100000,100000,50,1,1,35
2021,42000,49646,50,1,2,1
2021,38400,38400,100,2,2,36
2021,24000,24000,100,3,2,21
2021,100000,100000,0,1,1,1
2021,90000,90000,100,2,2,6
2021,7000000,63711,50,2,1,19
2021,8500000,77364,50,2,1,19
2021,220000,220000,0,3,3,22
2021,80000,80000,100,1,2,1
2021,135000,135000,100,2,3,6
2021,240000,240000,0,3,3,23
2021,150000,150000,0,3,3,17
2021,82500,82500,100,2,1,1
2021,100000,100000,100,2,3,11
2021,70000,82744,50,3,2,5
2021,53000,62649,50,2,2,15
2021,90000,90000,100,2,3,11
2021,153000,153000,100,3,3,17
2021,160000,160000,100,3,1,29
2021,168000,168000,0,3,1,14
2021,150000,150000,100,2,2,1
2021,95000,75774,100,2,3,1
2021,13400,13400,100,1,3,1
2021,144000,144000,100,3,3,23
2021,159500,127221,50,3,3,33
2021,160000,119059,100,2,2,1
2021,423000,423000,50,2,3,36
2021,120000,120000,100,3,2,37
2021,125000,125000,100,1,1,5
2021,230000,230000,50,4,3,24
2021,85000,85000,0,4,2,38
2021,24000,28369,50,2,3,11
2021,54000,63831,50,1,3,12
2021,110000,130026,50,4,2,14
2021,165000,165000,100,3,3,39
2021,80000,80000,100,1,3,11
2021,250000,250000,0,4,3,14
2021,55000,55000,50,1,1,13
2021,150000,150000,100,2,3,40
2021,170000,170000,100,2,3,40
2021,60000,82528,100,2,3,11
2021,60000,60000,100,1,1,6
2021,235000,235000,100,3,3,22
2021,51400,60757,50,3,3,15
2021,174000,174000,100,3,3,17
2021,58000,2859,0,2,1,1
2021,30400000,40038,100,2,3,1
2021,81000,81000,50,1,1,5
2021,420000,5679,100,2,1,1
2021,1672000,22611,0,2,3,3
2021,76760,90734,50,2,3,1
2021,22000,26005,0,2,3,11
2021,45000,61896,50,3,3,41
2021,12000,12000,50,2,2,2
2021,4000,4000,100,2,2,11
2021,50000,50000,100,3,2,26
2021,59000,69741,100,4,1,12
2021,65000,76833,50,3,1,11
2021,74000,74000,50,2,1,5
2021,152000,152000,100,3,3,23
2021,21844,21844,50,1,2,5
2021,18000,18000,0,2,1,3
2021,174000,174000,100,3,3,23
2021,120500,96113,50,3,3,15
2021,147000,147000,50,2,3,1
2021,9272,9272,100,1,1,13
2021,1799997,24342,100,3,3,5
2021,4000000,54094,50,3,3,23
2021,90000,90000,100,1,1,12
2021,52000,61467,50,2,2,1
2021,195000,195000,100,3,2,18
2021,32000,37825,100,2,3,1
2021,50000,50000,100,3,1,15
2021,160000,160000,100,2,3,1
2021,69600,12901,0,2,1,1
2021,200000,200000,100,3,3,5
2021,165000,165000,0,3,2,11
2021,20000,20000,0,2,3,11
2021,120000,120000,0,3,3,37
2021,21000,24823,50,2,3,5
2021,48000,56738,50,2,1,15
2021,48000,66022,50,2,1,11
2021,435000,5882,0,1,3,3
2021,21000,24823,50,1,2,5
2021,185000,185000,100,3,3,34
2021,180000,28609,50,1,1,21
2021,76760,90734,50,2,3,1
2021,75000,88654,100,2,2,5
2021,140000,140000,100,3,3,37
2021,180000,46597,100,2,3,5
2021,85000,116914,50,2,3,1
2021,2500000,33808,0,2,2,1
2021,40900,56256,50,2,3,1
2021,225000,225000,100,3,3,2
2021,416000,416000,100,4,1,22
2021,110000,87738,100,3,1,1
2021,75000,88654,50,2,3,1
2021,135000,135000,0,3,3,1
2021,90000,71786,100,3,2,6
2021,1200000,16228,100,1,3,3
2021,256000,256000,100,3,1,19
2021,200000,200000,100,3,3,32
2021,200000,200000,100,3,3,6
2021,180000,180000,100,2,3,40
2021,110000,110000,0,2,1,38
2021,80000,63810,100,2,2,15
2021,39600,46809,100,2,2,1
2021,4000,4000,0,1,2,1
2021,1600000,21637,50,1,2,11
2021,130000,103691,100,3,3,1
2021,80000,80000,100,2,3,6
2021,110000,110000,100,2,3,11
2021,165000,165000,100,3,3,1
2021,1335000,18053,100,1,1,20
2021,52500,72212,50,2,3,11
2021,31000,36643,50,1,3,1
2021,108000,12103,0,2,2,11
2021,70000,96282,50,3,3,11
2021,170000,170000,100,3,2,42
2021,115000,115000,50,2,3,1
2021,90000,90000,100,1,1,1
2021,600000,600000,100,4,3,34
2021,2100000,28399,100,1,2,1
2021,93000,93000,100,2,3,6
2021,125000,99703,50,3,2,43
2021,200000,200000,100,2,3,11
2021,147000,173762,100,3,2,22
2021,185000,185000,50,3,3,5
2021,120000,141846,0,4,3,14
2021,130000,130000,50,2,3,1
2021,54000,63831,50,3,3,6
2021,1250000,16904,100,2,1,1
2021,4900000,66265,0,3,3,5
2021,21600,25532,100,2,1,1
2021,160000,160000,50,3,1,9
2021,93150,93150,0,2,2,11
2021,111775,111775,0,2,2,11
2021,250000,28016,100,2,2,11
2021,55000,65013,50,1,2,11
2021,72500,72500,100,1,3,11
2021,102000,18907,0,3,2,21
2021,65000,76833,0,1,3,12
2021,85000,85000,100,1,1,5
2021,65720,77684,50,3,2,1
2021,100000,100000,100,1,2,1
2021,58000,58000,50,1,3,1
2021,55000,55000,100,3,3,20
2021,180000,20171,50,3,3,1
2021,50000,59102,100,1,3,8
2021,112000,112000,100,2,3,11
2021,100000,100000,0,1,3,15
2021,59000,69741,100,2,3,11
2021,105000,105000,100,3,2,44
2021,69999,69999,50,2,3,15
2021,7000000,94665,50,3,3,23
2021,87000,102839,100,3,3,24
2021,109000,109000,50,2,3,1
2021,43200,51064,50,2,3,5
2022,135000,135000,100,3,2,11
2022,155000,155000,100,3,2,6
2022,120600,120600,100,3,2,6
2022,130000,130000,0,2,2,1
2022,90000,90000,0,2,2,1
2022,170000,170000,100,2,2,11
2022,150000,150000,100,2,2,11
2022,102100,102100,100,3,2,6
2022,84900,84900,100,3,2,6
2022,136620,136620,100,3,2,1
2022,99360,99360,100,3,2,1
2022,90000,117789,0,3,2,1
2022,80000,104702,0,3,2,1
2022,146000,146000,100,3,2,1
2022,123000,123000,100,3,2,1
2022,40000,52351,100,1,2,11
2022,99000,99000,0,3,2,6
2022,116000,116000,0,3,2,6
2022,106260,106260,0,2,2,6
2022,126500,126500,0,2,2,6
2022,242000,242000,100,4,2,11
2022,200000,200000,100,4,2,11
2022,50000,65438,0,2,2,1
2022,30000,39263,0,2,2,1
2022,60000,78526,0,2,2,11
2022,40000,52351,0,2,2,11
2022,165220,165220,100,3,2,1
2022,35000,45807,100,1,2,11
2022,120160,120160,100,3,2,1
2022,90320,90320,100,3,2,6
2022,181940,181940,0,3,2,11
2022,132320,132320,0,3,2,11
2022,220110,220110,0,3,2,11
2022,160080,160080,0,3,2,11
2022,180000,180000,0,3,3,1
2022,120000,120000,0,3,3,1
2022,124190,124190,100,3,2,6
2022,130000,130000,100,4,2,6
2022,110000,110000,100,4,2,6
2022,170000,170000,100,3,2,6
2022,115500,115500,100,2,2,6
2022,112900,112900,100,3,2,6
2022,90320,90320,100,3,2,6
2022,112900,112900,100,3,2,6
2022,90320,90320,100,3,2,6
2022,165400,165400,100,3,2,11
2022,132320,132320,100,3,2,11
2022,167000,167000,100,2,2,6
2022,243900,243900,100,3,2,11
2022,136600,136600,100,3,2,6
2022,109280,109280,100,3,2,6
2022,128875,128875,100,3,2,11
2022,93700,93700,100,3,2,11
2022,224000,224000,100,4,2,38
2022,167875,167875,100,4,2,38
2022,175000,175000,100,4,2,45
2022,156600,156600,100,3,2,11
2022,108800,108800,0,3,2,11
2022,95550,95550,0,3,2,1
2022,113000,113000,0,3,3,11
2022,135000,135000,100,3,2,6
2022,161342,161342,100,3,2,23
2022,137141,137141,100,3,2,23
2022,167000,167000,100,3,2,1
2022,123000,123000,100,3,2,1
2022,60000,78526,0,3,2,11
2022,50000,65438,0,3,2,11
2022,150000,150000,0,3,2,1
2022,211500,211500,100,3,2,1
2022,192400,192400,100,3,2,40
2022,90700,90700,100,3,2,40
2022,130000,130000,100,3,2,6
2022,61300,61300,100,3,2,6
2022,130000,130000,100,3,2,6
2022,61300,61300,100,3,2,6
2022,160000,160000,0,3,3,11
2022,138600,138600,100,3,2,1
2022,136000,136000,0,3,2,11
2022,58000,58000,0,2,1,6
2022,135000,135000,100,4,2,45
2022,170000,170000,100,3,2,1
2022,123000,123000,100,3,2,1
2022,189650,189650,0,3,2,5
2022,164996,164996,0,3,2,5
2022,50000,54957,0,2,2,46
2022,50000,54957,0,2,2,46
2022,150000,118187,100,4,1,9
2022,132000,132000,0,3,2,6
2022,165400,165400,100,3,2,11
2022,208775,208775,100,3,2,40
2022,147800,147800,100,3,2,40
2022,136994,136994,100,3,2,11
2022,101570,101570,100,3,2,11
2022,128875,128875,100,3,2,6
2022,93700,93700,100,3,2,6
2022,6000000,79039,50,4,3,47
2022,132320,132320,100,3,2,11
2022,28500,37300,100,1,3,5
2022,164000,164000,0,3,2,6
2022,155000,155000,100,3,2,11
2022,95000,124333,0,2,2,5
2022,75000,98158,0,2,2,5
2022,120000,120000,0,2,2,20
2022,112900,112900,100,3,2,6
2022,90320,90320,100,3,2,6
2022,145000,145000,100,3,2,37
2022,105400,105400,100,3,2,37
2022,80000,87932,100,2,2,5
2022,90000,117789,0,2,2,11
2022,215300,215300,100,3,3,1
2022,158200,158200,100,3,3,1
2022,209100,209100,100,3,3,11
2022,154600,154600,100,3,3,11
2022,115934,115934,0,3,2,6
2022,81666,81666,0,3,2,6
2022,175000,175000,100,3,2,11
2022,75000,98158,0,2,2,11
2022,58000,58000,0,2,1,6
2022,183600,183600,100,3,3,11
2022,40000,52351,100,2,2,6
2022,180000,180000,100,3,2,1
2022,55000,71982,0,2,2,1
2022,35000,45807,0,2,2,1
2022,60000,65949,100,2,2,11
2022,45000,49461,100,2,2,11
2022,60000,78526,100,2,2,11
2022,45000,58894,100,2,2,11
2022,260000,260000,100,3,2,1
2022,60000,60000,100,3,3,33
2022,63900,63900,0,2,2,11
2022,160000,160000,100,2,3,2
2022,112300,112300,100,2,3,2
2022,241000,241000,100,2,2,23
2022,159000,159000,100,2,2,23
2022,180000,180000,0,3,2,1
2022,80000,80000,0,3,2,1
2022,82900,82900,0,2,2,11
2022,100800,100800,100,3,3,11
2022,45000,49461,100,2,2,11
2022,140400,140400,0,3,3,1
2022,30000,39263,100,2,2,6
2022,40000,43966,100,2,2,6
2022,30000,32974,100,2,2,6
2022,80000,87932,100,2,2,11
2022,70000,76940,100,2,2,11
2022,80000,104702,100,2,2,11
2022,70000,91614,100,2,2,11
2022,60000,65949,100,2,2,11
2022,80000,87932,100,2,2,11
2022,189650,189650,0,3,2,5
2022,164996,164996,0,3,2,5
2022,40000,43966,100,2,2,6
2022,30000,32974,100,2,2,6
2022,75000,98158,100,2,2,11
2022,60000,78526,100,2,2,11
2022,215300,215300,0,3,3,1
2022,70000,76940,100,2,2,11
2022,209100,209100,100,3,3,11
2022,154600,154600,100,3,3,11
2022,180000,180000,100,3,2,11
2022,20000,21983,100,1,3,19
2022,80000,80000,100,3,2,11
2022,100000,78791,100,2,2,35
2022,250000,196979,50,4,3,14
2022,120000,120000,100,2,1,5
2022,125000,125000,0,1,2,21
2022,240000,37236,50,2,3,48
2022,105000,105000,100,3,2,11
2022,80000,87932,0,3,2,49
2022,1400000,18442,100,2,2,8
2022,2400000,31615,100,2,3,1
2022,53000,58255,50,2,3,18
2022,100000,100000,50,1,3,30
2022,50000,54957,50,2,3,11
2022,1400000,18442,100,1,2,1
2022,148000,162674,100,3,2,22
2022,120000,120000,100,1,2,11
2022,144000,144000,50,3,3,15
2022,104890,104890,100,3,2,1
2022,100000,100000,100,3,2,11
2022,140000,140000,100,3,2,1
2022,135000,135000,100,2,2,6
2022,50000,50000,100,2,2,6
2022,220000,220000,100,3,2,1
2022,140000,140000,100,3,2,1
2022,140000,183228,0,2,2,1
2022,70000,91614,0,2,2,1
2022,185100,185100,100,3,2,1
2022,220000,220000,100,3,2,5
2022,200000,200000,100,2,2,1
2022,120000,120000,100,2,2,1
2022,120000,120000,100,3,1,5
2022,65000,65000,100,3,1,5
2022,324000,324000,100,4,2,11
2022,216000,216000,100,4,2,11
2022,210000,210000,100,3,2,11
2022,120000,120000,100,3,2,5
2022,230000,230000,100,3,2,1
2022,100000,100000,50,1,2,1
2022,100000,100000,100,2,2,1
2022,29000,31875,100,1,2,36
2022,200000,200000,100,3,2,24
2022,75000,75000,100,2,1,42
2022,150000,35590,100,2,3,1
2022,100000,78791,100,3,2,35
2022,100000,100000,100,3,2,1
2022,153000,153000,50,2,2,2
2022,52800,58035,100,1,2,11
2022,165000,165000,100,3,2,1
2022,85000,93427,50,3,3,15
2022,66500,52396,100,1,3,1
2022,57000,62651,100,3,3,5
2022,30000,32974,100,2,1,24
2022,40000,40000,100,1,3,1
2022,121000,87425,100,2,3,5
2022,115000,115000,100,3,2,11
2022,120000,86703,50,1,2,1
2022,75000,75000,100,2,3,36
2022,59000,64849,0,2,3,15
2022,120000,120000,100,1,3,15
2022,157000,157000,100,2,3,27
2022,150000,150000,100,1,1,31
2022,90000,70912,50,2,3,8
2022,65000,65000,100,1,1,11
2022,65000,71444,100,3,1,5
2022,20000,20000,0,1,2,26
2022,48000,48000,100,2,1,1
2022,152500,152500,100,3,2,23
2022,62000,68147,100,2,2,11
2022,115000,122346,0,2,3,1
2022,380000,380000,100,3,3,27
2022,88000,69336,100,2,2,1
2022,10000,10000,100,1,2,21
2022,20000,20000,100,2,1,6
2022,405000,405000,100,3,3,50
2022,135000,135000,100,2,3,1
2022,177000,177000,100,3,3,27
2022,78000,78000,100,2,2,1
2022,135000,135000,100,3,2,6
2022,100000,100000,100,3,2,6
2022,90320,90320,100,3,2,6
2022,85000,85000,0,2,2,6
2022,75000,75000,0,2,2,6
2022,214000,214000,100,3,2,5
2022,192600,192600,100,3,2,5
2022,266400,266400,100,3,2,40
2022,213120,213120,100,3,2,40
2022,112900,112900,100,3,2,6
2022,155000,155000,100,3,2,11
2022,141300,141300,0,2,2,1
2022,102100,102100,0,2,2,1
2022,115934,115934,100,3,2,6
2022,81666,81666,100,3,2,6
2022,206699,206699,0,2,2,11
2022,99100,99100,0,2,2,11
2022,130000,130000,100,3,2,11
2022,115000,115000,100,3,2,11
2022,110500,110500,100,3,2,11
2022,130000,130000,100,3,2,11
2022,99050,99050,100,3,2,6
2022,160000,160000,100,3,2,11
2022,205300,205300,0,3,3,1
2022,140400,140400,0,3,3,1
2022,176000,176000,100,3,2,1
2022,144000,144000,100,3,2,1
2022,200100,200100,100,3,2,11
2022,160000,160000,100,3,2,11
2022,145000,145000,100,3,2,11
2022,70500,70500,0,3,2,11
2022,205300,205300,0,3,2,1
2022,140400,140400,0,3,2,1
2022,205300,205300,0,3,2,45
2022,184700,184700,0,3,2,45
2022,175100,175100,100,3,2,11
2022,140250,140250,100,3,2,11
2022,116150,116150,100,3,2,6
2022,54000,54000,0,3,2,11
2022,170000,170000,100,3,2,6
2022,50000,65438,0,2,2,6
2022,80000,80000,100,3,2,6
2022,140000,140000,100,3,2,1
2022,210000,210000,100,3,2,1
2022,140000,140000,100,3,2,1
2022,100000,100000,100,3,2,6
2022,69000,69000,100,3,2,6
2022,210000,210000,100,3,2,1
2022,140000,140000,100,3,2,1
2022,210000,210000,100,3,2,1
2022,150075,150075,100,3,2,6
2022,100000,100000,100,3,2,11
2022,25000,25000,100,3,2,11
2022,126500,126500,100,3,2,6
2022,106260,106260,100,3,2,6
2022,220110,220110,100,3,2,11
2022,160080,160080,100,3,2,11
2022,105000,105000,100,3,2,6
2022,110925,110925,100,3,2,6
2022,35000,45807,0,2,2,6
2022,140000,140000,100,3,2,1
2022,99000,99000,0,3,2,6
2022,60000,60000,100,3,2,6
2022,192564,192564,100,3,2,40
2022,144854,144854,100,3,2,40
2022,230000,230000,100,3,2,1
2022,150000,150000,100,3,2,1
2022,150260,150260,100,3,2,37
2022,109280,109280,100,3,2,37
2022,210000,210000,100,3,2,1
2022,170000,170000,100,3,2,6
2022,160000,160000,100,2,2,1
2022,130000,130000,100,2,2,1
2022,67000,67000,0,1,2,6
2022,52000,52000,0,1,2,6
2022,154000,154000,100,3,2,11
2022,126000,126000,100,3,2,11
2022,129000,129000,0,3,2,6
2022,150000,150000,100,3,2,6
2022,200000,200000,100,2,3,20
