work_year,employment_type,salary_in_usd,employee_residence,company_location,company_size,high_experience,is_remote,job_group
2020,2,79833,14,12,0,0,0,5
2020,2,260000,32,29,2,1,0,5
2020,2,109024,20,18,1,1,1,2
2020,2,20000,23,20,2,0,0,0
2020,2,150000,55,48,0,1,1,2
2020,2,72000,55,48,0,0,1,0
2020,2,190000,55,48,2,1,1,5
2020,2,35735,25,22,0,0,1,5
2020,2,135000,55,48,0,0,1,0
2020,2,125000,41,38,2,1,1,2
2020,2,51321,19,17,2,0,0,5
2020,2,40481,27,25,0,0,0,5
2020,2,39916,19,17,1,0,0,5
2020,2,87000,55,48,0,0,1,0
2020,2,85000,55,48,0,0,1,0
2020,2,8000,43,39,0,0,1,0
2020,2,41689,32,29,2,0,1,2
2020,2,114047,44,18,2,1,1,2
2020,2,5707,27,25,1,0,1,4
2020,2,56000,46,48,1,0,1,2
2020,2,43331,11,9,1,0,0,2
2020,2,6072,27,25,0,0,1,0
2020,2,47899,21,19,0,1,1,2
2020,2,98000,55,48,1,0,0,0
2020,2,115000,0,0,0,0,0,5
2020,2,325000,55,48,0,1,1,4
2020,2,42000,40,37,0,0,1,5
2020,2,33511,37,34,2,1,0,2
2020,0,100000,55,48,0,0,1,0
2020,2,117104,8,6,0,1,1,3
2020,2,59303,14,12,2,0,1,2
2020,2,70000,55,48,0,0,1,2
2020,2,68428,21,48,0,1,1,5
2020,2,450000,55,48,1,0,0,5
2020,2,46759,19,17,0,0,1,0
2020,2,74130,2,2,0,0,1,2
2020,2,103000,55,48,0,0,1,4
2020,2,250000,55,48,0,0,1,2
2020,2,10000,39,36,2,0,1,0
2020,2,138000,55,48,2,0,1,2
2020,2,45760,42,48,2,0,1,5
2020,2,79833,18,16,0,1,1,2
2020,2,50180,46,41,1,0,0,2
2020,2,106000,55,48,0,0,1,2
2020,2,112872,20,18,0,0,1,2
2020,3,15966,14,12,2,0,1,2
2020,2,76958,20,18,2,0,1,5
2020,2,188000,55,48,0,1,1,2
2020,2,105000,55,48,0,0,1,5
2020,2,70139,19,17,0,0,1,2
2020,2,6072,27,25,2,0,0,0
2020,2,91000,55,48,0,0,1,0
2020,2,45896,15,13,2,0,1,5
2020,2,54742,43,12,0,0,1,2
2020,1,60000,49,48,2,1,1,2
2020,2,148261,14,12,1,1,1,5
2020,2,38776,18,16,1,0,1,5
2020,2,118000,55,48,1,0,1,5
2020,2,120000,55,48,0,1,1,5
2020,2,138350,55,48,1,0,1,5
2020,2,110000,55,48,0,0,1,2
2020,2,130800,18,48,1,0,1,2
2020,3,21669,30,28,2,0,1,5
2020,2,412000,55,48,0,1,1,5
2020,2,45618,24,21,2,1,1,2
2020,2,62726,14,12,2,0,1,5
2020,2,49268,14,12,2,0,0,5
2020,2,190200,55,48,1,1,1,3
2020,2,105000,55,48,2,0,1,5
2020,2,91237,2,2,2,1,0,5
2020,2,62726,19,31,2,0,1,5
2020,2,42197,19,17,2,0,1,5
2021,2,82528,20,18,0,0,1,5
2021,2,150000,27,48,0,1,1,0
2021,2,235000,55,48,0,1,1,4
2021,2,53192,19,17,0,1,1,5
2021,2,100000,55,48,1,0,1,0
2021,3,5409,27,25,1,0,1,4
2021,0,270000,55,48,0,0,1,2
2021,2,80000,55,48,1,0,1,0
2021,2,79197,14,12,0,1,1,2
2021,2,140000,55,48,0,0,1,2
2021,2,54238,20,6,0,0,1,5
2021,2,47282,18,16,2,0,1,2
2021,2,153667,30,40,0,1,1,4
2021,2,28476,44,40,0,0,1,2
2021,2,59102,19,17,1,0,1,0
2021,2,110000,55,48,0,0,1,2
2021,2,170000,55,48,0,1,1,0
2021,2,80000,5,48,2,1,1,0
2021,2,88654,21,13,0,1,1,0
2021,2,76833,14,12,2,0,1,4
2021,2,19609,27,25,0,0,1,0
2021,2,276000,55,48,0,1,0,2
2021,2,29751,27,25,0,0,1,5
2021,2,89294,50,44,0,0,1,2
2021,3,12000,7,48,2,0,1,5
2021,2,450000,55,48,0,0,1,0
2021,2,70000,55,48,1,0,1,2
2021,2,95746,14,48,2,0,1,2
2021,2,75000,55,48,0,0,0,0
2021,2,150000,55,48,0,1,1,2
2021,2,36259,25,48,0,0,1,0
2021,2,62000,55,48,0,0,0,0
2021,2,73000,55,48,0,0,0,5
2021,2,51519,20,18,0,0,1,0
2021,2,187442,8,6,0,0,1,5
2021,2,115000,55,48,2,1,1,2
2021,2,150000,55,48,1,1,1,2
2021,2,30428,27,25,0,0,1,2
2021,2,94564,14,12,0,1,1,2
2021,2,113476,20,18,1,1,1,2
2021,2,103160,20,18,2,1,1,2
2021,3,12000,43,48,1,0,1,5
2021,2,45391,40,37,0,0,1,2
2021,2,225000,55,48,0,0,1,5
2021,2,50000,39,36,0,0,1,5
2021,2,40189,21,19,1,0,1,2
2021,2,90000,55,48,2,0,1,0
2021,2,200000,55,48,0,0,1,2
2021,2,60000,18,42,1,0,1,2
2021,2,200000,55,48,1,1,1,2
2021,2,50000,55,48,1,0,1,0
2021,2,110037,20,18,0,0,0,5
2021,3,10354,18,16,1,0,1,0
2021,2,151000,55,48,0,0,1,5
2021,2,120000,55,48,2,1,1,5
2021,2,9466,27,25,2,0,0,5
2021,2,20000,27,25,2,0,1,2
2021,2,40570,27,25,0,1,1,5
2021,2,100000,28,26,2,0,1,4
2021,2,49646,19,17,1,0,1,5
2021,2,38400,56,48,1,0,1,5
2021,2,24000,7,5,1,1,1,2
2021,2,100000,55,48,2,0,0,5
2021,2,90000,55,48,1,0,1,0
2021,2,63711,32,29,2,0,1,2
2021,2,77364,32,29,2,0,1,2
2021,2,220000,55,48,0,1,0,5
2021,2,80000,55,48,1,0,1,5
2021,2,135000,55,48,0,0,1,0
2021,2,240000,55,48,0,1,0,3
2021,2,150000,55,48,0,1,0,2
2021,2,82500,55,48,2,0,1,5
2021,2,100000,55,48,0,0,1,2
2021,2,82744,4,4,1,1,1,2
2021,2,62649,19,17,1,0,1,5
2021,2,90000,55,48,0,0,1,2
2021,2,153000,55,48,0,1,1,2
2021,2,160000,7,48,2,1,1,2
2021,2,168000,32,29,2,1,0,4
2021,2,150000,55,48,1,0,1,5
2021,2,75774,8,6,0,0,1,5
2021,2,13400,54,47,0,0,1,5
2021,2,144000,55,48,0,1,1,3
2021,2,127221,8,6,0,1,1,2
2021,2,119059,50,24,1,0,1,5
2021,2,423000,55,48,0,0,1,5
2021,2,120000,55,48,1,1,1,3
2021,2,125000,55,48,2,0,1,2
2021,2,230000,49,43,0,1,1,4
2021,2,85000,49,43,1,1,0,4
2021,2,28369,36,33,0,0,1,2
2021,2,63831,14,12,0,0,1,4
2021,2,130026,14,12,1,1,1,4
2021,2,165000,55,48,0,1,1,4
2021,2,80000,55,48,0,0,1,2
2021,2,250000,55,48,0,1,0,4
2021,2,55000,55,48,2,0,1,0
2021,2,150000,55,48,0,0,1,1
2021,2,170000,55,48,0,0,1,1
2021,2,82528,20,18,0,0,1,2
2021,2,60000,55,48,2,0,1,0
2021,2,235000,55,48,0,1,1,5
2021,2,60757,46,41,0,1,1,5
2021,2,174000,55,48,0,1,1,2
2021,2,2859,37,34,2,0,0,5
2021,2,40038,10,8,0,0,1,5
2021,2,81000,55,48,2,0,1,2
2021,2,5679,27,48,2,0,1,5
2021,2,22611,27,25,0,0,0,2
2021,2,90734,14,12,0,0,1,5
2021,2,26005,47,48,0,0,0,2
2021,2,61896,20,18,0,1,1,0
2021,1,12000,43,39,1,0,1,5
2021,2,4000,29,27,1,0,1,2
2021,2,50000,56,18,1,1,1,2
2021,2,69741,19,16,2,1,1,4
2021,2,76833,47,18,2,1,1,2
2021,2,74000,32,29,2,0,1,2
2021,2,152000,55,17,0,1,1,3
2021,2,21844,12,10,1,0,1,2
2021,2,18000,35,32,2,0,0,2
2021,2,174000,55,48,0,1,1,3
2021,2,96113,8,6,0,1,1,5
2021,2,147000,55,48,0,0,1,5
2021,2,9272,33,30,2,0,1,0
2021,2,24342,27,25,0,1,1,2
2021,2,54094,27,48,0,1,1,3
2021,2,90000,55,48,2,0,1,4
2021,2,61467,14,2,1,0,1,5
2021,2,195000,55,48,1,1,1,2
2021,2,37825,18,16,0,0,1,5
2021,2,50000,19,48,2,1,1,5
2021,2,160000,55,48,0,0,1,5
2021,2,12901,7,5,2,0,0,5
2021,2,200000,55,48,0,1,1,2
2021,2,165000,55,48,1,1,0,2
2021,1,20000,30,48,0,0,0,2
2021,2,120000,55,48,0,1,0,3
2021,2,24823,51,45,0,0,1,2
2021,2,56738,19,17,2,0,1,5
2021,2,66022,22,18,2,0,1,2
2021,2,5882,27,7,0,0,0,2
2021,2,24823,14,12,1,0,1,2
2021,2,185000,55,48,0,1,1,2
2021,3,28609,15,13,2,0,1,2
2021,2,90734,14,12,0,0,1,5
2021,2,88654,4,4,1,0,1,2
2021,2,140000,55,48,0,1,1,3
2021,2,46597,44,40,0,0,1,2
2021,2,116914,20,18,0,0,1,5
2021,2,33808,27,25,1,0,0,5
2021,2,56256,20,18,0,0,1,5
2021,2,225000,55,6,0,1,1,5
2021,0,416000,55,48,2,1,1,5
2021,2,87738,8,6,2,1,1,5
2021,2,88654,14,12,0,0,1,5
2021,2,135000,55,48,0,1,0,5
2021,2,71786,8,6,1,1,1,0
2021,2,16228,27,25,0,0,1,2
2021,2,256000,55,48,2,1,1,2
2021,2,200000,55,48,0,1,1,2
2021,2,200000,55,48,0,1,1,0
2021,2,180000,55,48,0,0,1,1
2021,2,110000,55,48,2,0,0,4
2021,2,63810,8,6,1,0,1,5
2021,2,46809,18,16,1,0,1,5
2021,2,4000,56,49,1,0,0,5
2021,2,21637,27,25,1,0,1,2
2021,2,103691,8,6,0,1,1,5
2021,2,80000,55,48,0,0,1,0
2021,2,110000,55,48,0,0,1,2
2021,2,165000,55,48,0,1,1,5
2021,2,18053,27,1,2,0,1,5
2021,2,72212,20,18,0,0,1,2
2021,2,36643,19,17,0,0,1,5
2021,2,12103,53,46,1,0,0,2
2021,2,96282,20,18,0,1,1,2
2021,2,170000,55,48,1,1,1,0
2021,2,115000,55,48,0,0,1,5
2021,2,90000,55,48,2,0,1,5
2021,2,600000,55,48,0,1,1,2
2021,2,28399,27,25,1,0,1,5
2021,2,93000,55,48,0,0,1,0
2021,2,99703,8,6,1,1,1,1
2021,2,200000,55,48,0,0,1,2
2021,2,173762,14,12,1,1,1,5
2021,2,185000,55,48,0,1,1,2
2021,2,141846,14,12,0,1,0,4
2021,2,130000,55,48,0,0,1,5
2021,2,63831,14,12,0,1,1,0
2021,2,16904,27,25,2,0,1,5
2021,2,66265,27,25,0,1,0,2
2021,2,25532,48,12,2,0,1,5
2021,2,160000,45,48,2,1,1,2
2021,2,93150,55,48,1,0,0,2
2021,2,111775,55,48,1,0,0,2
2021,2,28016,53,46,1,0,1,2
2021,2,65013,14,12,1,0,1,2
2021,2,72500,55,48,0,0,1,2
2021,2,18907,7,5,1,1,0,2
2021,2,76833,14,12,0,0,0,4
2021,2,85000,40,12,2,0,1,2
2021,2,77684,19,17,1,1,1,5
2021,2,100000,55,48,1,0,1,5
2021,2,58000,55,48,0,0,1,5
2021,2,55000,18,16,0,1,1,5
2021,2,20171,53,46,0,1,1,5
2021,2,59102,34,31,0,0,1,0
2021,2,112000,55,48,0,0,1,2
2021,2,100000,31,9,0,0,0,5
2021,3,69741,40,37,0,0,1,2
2021,0,105000,55,48,1,1,1,5
2021,2,69999,13,11,0,0,1,5
2021,2,94665,27,25,0,1,1,3
2021,2,102839,51,45,0,1,1,4
2021,2,109000,55,48,0,0,1,5
2021,2,51064,30,28,0,0,1,2
2022,2,135000,55,48,1,1,1,2
2022,2,155000,55,48,1,1,1,0
2022,2,120600,55,48,1,1,1,0
2022,2,130000,55,48,1,0,0,5
2022,2,90000,55,48,1,0,0,5
2022,2,170000,55,48,1,0,1,2
2022,2,150000,55,48,1,0,1,2
2022,2,102100,55,48,1,1,1,0
2022,2,84900,55,48,1,1,1,0
2022,2,136620,55,48,1,1,1,5
2022,2,99360,55,48,1,1,1,5
2022,2,117789,20,18,1,1,0,5
2022,2,104702,20,18,1,1,0,5
2022,2,146000,55,48,1,1,1,5
2022,2,123000,55,48,1,1,1,5
2022,2,52351,20,18,1,0,1,2
2022,2,99000,55,48,1,1,0,0
2022,2,116000,55,48,1,1,0,0
2022,2,106260,55,48,1,0,0,0
2022,2,126500,55,48,1,0,0,0
2022,2,242000,55,48,1,1,1,2
2022,2,200000,55,48,1,1,1,2
2022,2,65438,20,18,1,0,0,5
2022,2,39263,20,18,1,0,0,5
2022,2,78526,20,18,1,0,0,2
2022,2,52351,20,18,1,0,0,2
2022,2,165220,55,48,1,1,1,5
2022,2,45807,20,18,1,0,1,2
2022,2,120160,55,48,1,1,1,5
2022,2,90320,55,48,1,1,1,0
2022,2,181940,55,48,1,1,0,2
2022,2,132320,55,48,1,1,0,2
2022,2,220110,55,48,1,1,0,2
2022,2,160080,55,48,1,1,0,2
2022,2,180000,55,48,0,1,0,5
2022,2,120000,55,48,0,1,0,5
2022,2,124190,55,48,1,1,1,0
2022,2,130000,55,48,1,1,1,0
2022,2,110000,55,48,1,1,1,0
2022,2,170000,55,48,1,1,1,0
2022,2,115500,55,48,1,0,1,0
2022,2,112900,55,48,1,1,1,0
2022,2,90320,55,48,1,1,1,0
2022,2,112900,55,48,1,1,1,0
2022,2,90320,55,48,1,1,1,0
2022,2,165400,55,48,1,1,1,2
2022,2,132320,55,48,1,1,1,2
2022,2,167000,55,48,1,0,1,0
2022,2,243900,55,48,1,1,1,2
2022,2,136600,55,48,1,1,1,0
2022,2,109280,55,48,1,1,1,0
2022,2,128875,55,48,1,1,1,2
2022,2,93700,55,48,1,1,1,2
2022,2,224000,55,48,1,1,1,4
2022,2,167875,55,48,1,1,1,4
2022,2,175000,55,48,1,1,1,2
2022,2,156600,55,48,1,1,1,2
2022,2,108800,55,48,1,1,0,2
2022,2,95550,55,48,1,1,0,5
2022,2,113000,55,48,0,1,0,2
2022,2,135000,55,48,1,1,1,0
2022,2,161342,55,48,1,1,1,3
2022,2,137141,55,48,1,1,1,3
2022,2,167000,55,48,1,1,1,5
2022,2,123000,55,48,1,1,1,5
2022,2,78526,20,18,1,1,0,2
2022,2,65438,20,18,1,1,0,2
2022,2,150000,55,48,1,1,0,5
2022,2,211500,55,48,1,1,1,5
2022,2,192400,8,6,1,1,1,1
2022,2,90700,8,6,1,1,1,1
2022,2,130000,8,6,1,1,1,0
2022,2,61300,8,6,1,1,1,0
2022,2,130000,8,6,1,1,1,0
2022,2,61300,8,6,1,1,1,0
2022,2,160000,55,48,0,1,0,2
2022,2,138600,55,48,1,1,1,5
2022,2,136000,55,48,1,1,0,2
2022,2,58000,55,48,2,0,0,0
2022,2,135000,55,48,1,1,1,2
2022,2,170000,55,48,1,1,1,5
2022,2,123000,55,48,1,1,1,5
2022,2,189650,55,48,1,1,0,2
2022,2,164996,55,48,1,1,0,2
2022,2,54957,21,19,1,0,0,4
2022,2,54957,21,19,1,0,0,4
2022,2,118187,8,6,2,1,1,2
2022,2,132000,55,48,1,1,0,0
2022,2,165400,55,48,1,1,1,2
2022,2,208775,55,48,1,1,1,1
2022,2,147800,55,48,1,1,1,1
2022,2,136994,55,48,1,1,1,2
2022,2,101570,55,48,1,1,1,2
2022,2,128875,55,48,1,1,1,0
2022,2,93700,55,48,1,1,1,0
2022,2,79039,27,25,0,1,1,4
2022,2,132320,55,48,1,1,1,2
2022,2,37300,20,18,0,0,1,2
2022,2,164000,55,48,1,1,0,0
2022,2,155000,55,48,1,1,1,2
2022,2,124333,20,18,1,0,0,2
2022,2,98158,20,18,1,0,0,2
2022,2,120000,55,48,1,0,0,5
2022,2,112900,55,48,1,1,1,0
2022,2,90320,55,48,1,1,1,0
2022,2,145000,55,48,1,1,1,3
2022,2,105400,55,48,1,1,1,3
2022,2,87932,19,12,1,0,1,2
2022,2,117789,20,18,1,0,0,2
2022,2,215300,55,48,0,1,1,5
2022,2,158200,55,48,0,1,1,5
2022,2,209100,55,48,0,1,1,2
2022,2,154600,55,48,0,1,1,2
2022,2,115934,55,48,1,1,0,0
2022,2,81666,55,48,1,1,0,0
2022,2,175000,55,48,1,1,1,2
2022,2,98158,20,18,1,0,0,2
2022,2,58000,55,48,2,0,0,0
2022,2,183600,55,48,0,1,1,2
2022,2,52351,20,18,1,0,1,0
2022,2,180000,55,48,1,1,1,5
2022,2,71982,20,18,1,0,0,5
2022,2,45807,20,18,1,0,0,5
2022,2,65949,21,19,1,0,1,2
2022,2,49461,21,19,1,0,1,2
2022,2,78526,20,18,1,0,1,2
2022,2,58894,20,18,1,0,1,2
2022,2,260000,55,48,1,1,1,5
2022,2,60000,1,34,0,1,1,2
2022,2,63900,55,48,1,0,0,2
2022,2,160000,55,48,0,0,1,5
2022,2,112300,55,48,0,0,1,5
2022,2,241000,55,48,1,0,1,3
2022,2,159000,55,48,1,0,1,3
2022,2,180000,55,48,1,1,0,5
2022,2,80000,55,48,1,1,0,5
2022,2,82900,55,48,1,0,0,2
2022,2,100800,55,48,0,1,1,2
2022,2,49461,18,16,1,0,1,2
2022,2,140400,55,48,0,1,0,5
2022,2,39263,20,18,1,0,1,0
2022,2,43966,18,16,1,0,1,0
2022,2,32974,18,16,1,0,1,0
2022,2,87932,18,16,1,0,1,2
2022,2,76940,18,16,1,0,1,2
2022,2,104702,20,18,1,0,1,2
2022,2,91614,20,18,1,0,1,2
2022,2,65949,18,16,1,0,1,2
2022,2,87932,21,19,1,0,1,2
2022,2,189650,55,48,1,1,0,2
2022,2,164996,55,48,1,1,0,2
2022,2,43966,21,19,1,0,1,0
2022,2,32974,21,19,1,0,1,0
2022,2,98158,20,18,1,0,1,2
2022,2,78526,20,18,1,0,1,2
2022,2,215300,55,48,0,1,0,5
2022,2,76940,21,19,1,0,1,2
2022,2,209100,55,48,0,1,1,2
2022,2,154600,55,48,0,1,1,2
2022,2,180000,55,48,1,1,1,2
2022,2,21983,46,41,0,0,1,2
2022,2,80000,55,48,1,1,1,2
2022,2,78791,8,6,1,0,1,4
2022,2,196979,8,6,0,1,1,4
2022,2,120000,55,48,2,0,1,2
2022,2,125000,55,48,1,0,0,2
2022,2,37236,55,48,0,0,1,2
2022,2,105000,55,48,1,1,1,2
2022,2,87932,14,12,1,1,0,2
2022,2,18442,27,25,1,0,1,0
2022,2,31615,27,25,0,0,1,5
2022,2,58255,46,41,0,0,1,2
2022,2,100000,55,48,0,0,1,0
2022,3,54957,14,12,0,0,1,2
2022,2,18442,27,25,1,0,1,5
2022,2,162674,14,12,1,1,1,5
2022,2,120000,55,48,1,0,1,2
2022,2,144000,55,48,0,1,1,5
2022,2,104890,55,48,1,1,1,5
2022,2,100000,55,48,1,1,1,2
2022,2,140000,55,48,1,1,1,5
2022,2,135000,55,48,1,0,1,0
2022,2,50000,55,48,1,0,1,0
2022,2,220000,55,48,1,1,1,5
2022,2,140000,55,48,1,1,1,5
2022,2,183228,20,18,1,0,0,5
2022,2,91614,20,18,1,0,0,5
2022,2,185100,55,48,1,1,1,5
2022,2,220000,55,48,1,1,1,2
2022,2,200000,55,48,1,0,1,5
2022,2,120000,55,48,1,0,1,5
2022,2,120000,0,0,2,1,1,2
2022,2,65000,0,0,2,1,1,2
2022,2,324000,55,48,1,1,1,2
2022,2,216000,55,48,1,1,1,2
2022,2,210000,55,48,1,1,1,2
2022,2,120000,55,48,1,1,1,2
2022,2,230000,55,48,1,1,1,5
2022,3,100000,16,14,1,0,1,5
2022,1,100000,8,48,1,0,1,5
2022,0,31875,52,11,1,0,1,5
2022,2,200000,38,48,1,1,1,4
2022,2,75000,8,6,2,0,1,0
2022,2,35590,44,40,0,0,1,5
2022,2,78791,8,6,1,1,1,4
2022,2,100000,7,48,1,1,1,5
2022,2,153000,55,48,1,0,1,5
2022,2,58035,43,12,1,0,1,2
2022,2,165000,55,48,1,1,1,5
2022,2,93427,19,17,0,1,1,5
2022,2,52396,8,6,0,0,1,5
2022,2,62651,40,37,0,1,1,2
2022,2,32974,17,15,2,0,1,4
2022,2,40000,32,35,0,0,1,5
2022,2,87425,3,3,0,0,1,2
2022,2,115000,55,48,1,1,1,2
2022,2,86703,3,3,1,0,1,5
2022,2,75000,6,48,0,0,1,5
2022,2,64849,2,2,0,0,0,5
2022,2,120000,55,48,0,0,1,5
2022,2,157000,55,48,0,0,1,5
2022,2,150000,3,3,2,0,1,2
2022,2,70912,8,6,0,0,1,0
2022,2,65000,55,48,2,0,1,2
2022,2,71444,26,23,2,1,1,2
2022,2,20000,43,39,1,0,0,2
2022,2,48000,49,48,2,0,1,5
2022,2,152500,55,48,1,1,1,3
2022,2,68147,19,17,1,0,1,2
2022,2,122346,9,7,0,0,0,5
2022,2,380000,55,48,0,1,1,5
2022,2,69336,8,6,1,0,1,5
2022,2,10000,46,31,1,0,1,2
2022,2,20000,21,19,2,0,1,0
2022,2,405000,55,48,0,1,1,4
2022,2,135000,55,48,0,0,1,5
2022,2,177000,55,48,0,1,1,5
2022,2,78000,55,48,1,0,1,5
2022,2,135000,55,48,1,1,1,0
2022,2,100000,55,48,1,1,1,0
2022,2,90320,55,48,1,1,1,0
2022,2,85000,8,6,1,0,0,0
2022,2,75000,8,6,1,0,0,0
2022,2,214000,55,48,1,1,1,2
2022,2,192600,55,48,1,1,1,2
2022,2,266400,55,48,1,1,1,1
2022,2,213120,55,48,1,1,1,1
2022,2,112900,55,48,1,1,1,0
2022,2,155000,55,48,1,1,1,2
2022,2,141300,55,48,1,0,0,5
2022,2,102100,55,48,1,0,0,5
2022,2,115934,55,48,1,1,1,0
2022,2,81666,55,48,1,1,1,0
2022,2,206699,55,48,1,0,0,2
2022,2,99100,55,48,1,0,0,2
2022,2,130000,55,48,1,1,1,2
2022,2,115000,55,48,1,1,1,2
2022,2,110500,55,48,1,1,1,2
2022,2,130000,55,48,1,1,1,2
2022,2,99050,55,48,1,1,1,0
2022,2,160000,55,48,1,1,1,2
2022,2,205300,55,48,0,1,0,5
2022,2,140400,55,48,0,1,0,5
2022,2,176000,55,48,1,1,1,5
2022,2,144000,55,48,1,1,1,5
2022,2,200100,55,48,1,1,1,2
2022,2,160000,55,48,1,1,1,2
2022,2,145000,55,48,1,1,1,2
2022,2,70500,55,48,1,1,0,2
2022,2,205300,55,48,1,1,0,5
2022,2,140400,55,48,1,1,0,5
2022,2,205300,55,48,1,1,0,2
2022,2,184700,55,48,1,1,0,2
2022,2,175100,55,48,1,1,1,2
2022,2,140250,55,48,1,1,1,2
2022,2,116150,55,48,1,1,1,0
2022,2,54000,55,48,1,1,0,2
2022,2,170000,55,48,1,1,1,0
2022,2,65438,20,18,1,0,0,0
2022,2,80000,55,48,1,1,1,0
2022,2,140000,55,48,1,1,1,5
2022,2,210000,55,48,1,1,1,5
2022,2,140000,55,48,1,1,1,5
2022,2,100000,55,48,1,1,1,0
2022,2,69000,55,48,1,1,1,0
2022,2,210000,55,48,1,1,1,5
2022,2,140000,55,48,1,1,1,5
2022,2,210000,55,48,1,1,1,5
2022,2,150075,55,48,1,1,1,0
2022,2,100000,55,48,1,1,1,2
2022,2,25000,55,48,1,1,1,2
2022,2,126500,55,48,1,1,1,0
2022,2,106260,55,48,1,1,1,0
2022,2,220110,55,48,1,1,1,2
2022,2,160080,55,48,1,1,1,2
2022,2,105000,55,48,1,1,1,0
2022,2,110925,55,48,1,1,1,0
2022,2,45807,20,18,1,0,0,0
2022,2,140000,55,48,1,1,1,5
2022,2,99000,55,48,1,1,0,0
2022,2,60000,55,48,1,1,1,0
2022,2,192564,55,48,1,1,1,1
2022,2,144854,55,48,1,1,1,1
2022,2,230000,55,48,1,1,1,5
2022,2,150000,55,48,1,1,1,5
2022,2,150260,55,48,1,1,1,3
2022,2,109280,55,48,1,1,1,3
2022,2,210000,55,48,1,1,1,5
2022,2,170000,55,48,1,1,1,0
2022,2,160000,55,48,1,0,1,5
2022,2,130000,55,48,1,0,1,5
2022,2,67000,8,6,1,0,0,0
2022,2,52000,8,6,1,0,0,0
2022,2,154000,55,48,1,1,1,2
2022,2,126000,55,48,1,1,1,2
2022,2,129000,55,48,1,1,0,0
2022,2,150000,55,48,1,1,1,0
2022,2,200000,27,48,0,0,1,5
